PC,explained_variance,cumulative_variance
PC1,0.40900734,0.40900734
PC2,0.12377564,0.532783
PC3,0.0733922,0.6061752
PC4,0.06064114,0.66681635
PC5,0.05453789,0.72135425
PC6,0.046350773,0.767705
PC7,0.03492499,0.80263
PC8,0.03299588,0.8356259
PC9,0.030185344,0.8658112
PC10,0.02618652,0.89199775
