PC,explained_variance,cumulative_variance
PC1,0.33397236,0.33397236
PC2,0.19804505,0.5320174
PC3,0.11674565,0.64876306
PC4,0.0814044,0.73016745
PC5,0.061688296,0.79185575
PC6,0.04783518,0.8396909
PC7,0.03165421,0.87134516
PC8,0.029701468,0.90104663
PC9,0.024121871,0.9251685
PC10,0.021928692,0.9470972
