PC,explained_variance,cumulative_variance
PC1,0.5725607,0.5725607
PC2,0.094271995,0.66683275
PC3,0.06827663,0.7351094
PC4,0.05633782,0.7914472
PC5,0.046368152,0.8378154
PC6,0.032467626,0.870283
PC7,0.027324246,0.89760727
PC8,0.02285576,0.920463
PC9,0.014659661,0.93512267
PC10,0.012063699,0.94718635
