song_id,title,artist,found,spotify_id,popularity,duration_ms,explicit,release_date,tempo,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,loudness,key,mode,time_signature
AG_01,"thank u, next",Ariana Grande,True,3e9HZxeyfWwjeyPAMmWSSQ,84,207320,True,2019-02-08,,,,,,,,,,,,
AG_02,7 rings,Ariana Grande,True,6ocbgoVGwYJhOv1GgI9NsF,86,178626,True,2019-02-08,,,,,,,,,,,,
AG_03,positions,Ariana Grande,True,35mvY5S1H3J2QZyna3TFe0,80,172324,True,2020-10-30,,,,,,,,,,,,
AG_04,God is a woman,Ariana Grande,True,5OCJzvD7sykQEKHH7qAC3C,80,197546,True,2018-08-17,,,,,,,,,,,,
AG_05,no tears left to cry,Ariana Grande,True,2qT1uLXPVPzGgFOx4jtEuo,81,205920,False,2018-08-17,,,,,,,,,,,,
AG_06,Problem,Ariana Grande,True,7vS3Y0IKjde7Xg85LWIEdP,81,193920,False,2014-08-22,,,,,,,,,,,,
AG_07,Into You,Ariana Grande,True,63y6xWR4gXz7bnUGOk8iI6,79,244453,False,2016-05-20,,,,,,,,,,,,
AG_08,Side to Side,Ariana Grande,True,43bCmCI0nSgcT7QdMXY6LV,75,226160,True,2016-05-20,,,,,,,,,,,,
AG_09,Break Free,Ariana Grande,True,12KUFSHFgT0XCoiSlvdQi4,83,214840,False,2014-08-22,,,,,,,,,,,,
AG_10,breathin,Ariana Grande,True,4OafepJy2teCjYJbvFE60J,73,198160,True,2018-08-17,,,,,,,,,,,,
AG_11,Rain on Me,Ariana Grande,True,7ju97lgwC2rKQ6wwsf9no9,74,182200,False,2020-05-29,,,,,,,,,,,,
AG_12,stuck with u,Ariana Grande,True,4HBZA5flZLE435QTztThqH,81,228482,False,2020-05-08,,,,,,,,,,,,
BD_01,Blowin' in the Wind,Bob Dylan,True,18GiV1BaXzPVYpp9rmOg0E,71,168756,False,1963-05-27,,,,,,,,,,,,
BD_02,The Times They Are A-Changin',Bob Dylan,True,52vA3CYKZqZVdQnzRrdZt6,69,197020,False,1964-01-13,,,,,,,,,,,,
BD_03,Like a Rolling Stone,Bob Dylan,True,3AhXZa8sUQht0UEdBJgpGc,74,371713,False,1965-08-30,,,,,,,,,,,,
BD_04,Mr. Tambourine Man,Bob Dylan,True,3RkQ3UwOyPqpIiIvGVewuU,67,326706,False,1965-03-22,,,,,,,,,,,,
BD_05,Knockin' on Heaven's Door,Bob Dylan,True,6HSXNV0b4M4cLJ7ljgVVeh,84,149880,False,1973-07-13,,,,,,,,,,,,
BD_06,Tangled Up in Blue,Bob Dylan,True,6Vcwr9tb3ZLO63F8DL8cqu,62,340775,False,1975-01-17,,,,,,,,,,,,
BD_07,Hurricane,Bob Dylan,True,1lqMLr9Wj7SM2F9AikGcxN,70,512609,True,1976-01-16,,,,,,,,,,,,
BD_08,"It Ain't Me, Babe",Bob Dylan,True,5nbNWAfT1S6V1vqj3snHxS,58,212963,False,1964-08-08,,,,,,,,,,,,
BD_09,"Don't Think Twice, It's All Right",Bob Dylan,True,2WOjLF83vqjit2Zh4B69V3,68,220888,False,1963-05-27,,,,,,,,,,,,
BD_10,Lay Lady Lay,Bob Dylan,True,4uYwlMp841PLJmj1gJJwIq,66,201387,False,1969-04-09,,,,,,,,,,,,
BD_11,Simple Twist of Fate,Bob Dylan,True,3wAX3qn53iQUFE84hpfeen,57,257713,False,1975-01-17,,,,,,,,,,,,
BD_12,Shelter from the Storm,Bob Dylan,True,3y4Uza6K58JXQ7RYya8ZI5,60,300862,False,1975-01-17,,,,,,,,,,,,
